"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100391.107
","0100391.107.01
","0100391
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","1
","1
","36
","2
","1
","1
","2
","3
","2
","2
","2
","2
","3
","1
","2
","3
","3
","1
","1
","1
","1
","1
","2
","2
","2
","1
","2
","2
","2
","2
","0
","0
","1
","1
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","0
","1
","0
","1
","0
","0
","0
","3
","1611
","U
","3
","00030
","1380
"
"0100391.270
","0100391.270.01
","0100391
","04
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","1
","1
","29
","1
","1
","1
","1
","3
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","0
","1
","1
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","1
","1
","1
","1
","2
","3
","3
","3
","1
","
","2
","3
","3
","2
","
","1
","0
","0
","0
","1
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","1
","1
","1
","1
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","0
","4
","806
","U
","3
","00030
","1380
"
"0100574.020
","0100574.020.02
","0100574
","05
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","2
","1
","27
","2
","1
","1
","2
","3
","1
","1
","2
","2
","2
","1
","2
","2
","2
","1
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","2
","1
","1
","1
","2
","
","2
","2
","2
","
","
","2
","2
","2
","
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","0
","0
","1
","1
","0
","1
","0
","1
","1
","1
","0
","0
","0
","0
","0
","4
","2154
","U
","4
","00040
","1390
"
"0100574.060
","0100574.060.02
","0100574
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","2
","2
","25
","2
","1
","3
","1
","3
","2
","2
","2
","2
","3
","1
","1
","3
","3
","2
","2
","1
","2
","2
","2
","2
","2
","1
","2
","1
","2
","2
","1
","0
","0
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","0
","1
","1
","2
","1
","1
","2
","2
","
","1
","1
","2
","2
","
","1
","1
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","1
","0
","0
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","0
","0
","2
","2154
","U
","4
","00040
","1390
"
"0100574.098
","0100574.098.02
","0100574
","02
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","2
","2
","59
","1
","1
","1
","1
","3
","1
","1
","1
","1
","3
","1
","1
","1
","2
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","0
","1
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","1
","1
","2
","1
","2
","3
","2
","
","3
","
","2
","3
","
","3
","
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","2
","4308
","U
","4
","00040
","1390
"
"0100574.111
","0100574.111.02
","0100574
","04
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","2
","1
","86
","2
","1
","3
","2
","3
","2
","2
","2
","2
","3
","1
","2
","3
","4
","1
","1
","2
","2
","2
","2
","2
","2
","1
","2
","2
","3
","2
","1
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","1
","1
","2
","1
","1
","3
","3
","
","2
","2
","4
","3
","
","2
","2
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","0
","0
","0
","0
","1
","0
","0
","0
","1
","0
","1
","1
","0
","0
","0
","0
","4
","2154
","U
","4
","00040
","1390
"
"0100586.006
","0100586.006.03
","0100586
","05
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","5
","1
","19
","1
","1
","3
","1
","1
","3
","1
","1
","1
","3
","1
","3
","3
","4
","2
","2
","1
","2
","2
","2
","2
","2
","1
","1
","2
","3
","2
","1
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","1
","1
","2
","1
","1
","3
","3
","
","2
","1
","4
","4
","
","2
","1
","1
","1
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","1
","0
","1
","1
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","3
","2433
","U
","4
","00050
","1390
"
"0100586.032
","0100586.032.02
","0100586
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","5
","2
","32
","2
","1
","1
","1
","3
","2
","2
","2
","2
","2
","1
","2
","2
","3
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","1
","1
","2
","0
","0
","1
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","1
","1
","1
","1
","1
","4
","3
","2
","2
","2
","4
","4
","2
","2
","2
","1
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","1
","0
","0
","0
","0
","1
","0
","0
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","1
","1
","0
","1
","0
","1
","0
","0
","1
","1
","1
","1
","1
","0
","0
","0
","4
","1622
","U
","4
","00050
","1390
"
"0100586.052
","0100586.052.02
","0100586
","02
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","5
","1
","30
","2
","2
","2
","2
","3
","2
","2
","2
","2
","2
","1
","1
","2
","3
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","0
","1
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","3
","3
","3
","3
","3
","3
","3
","3
","3
","3
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","0
","0
","0
","1
","0
","0
","1
","0
","1
","0
","1
","0
","1
","0
","0
","0
","3
","1622
","U
","4
","00050
","1390
"
"0100586.086
","0100586.086.05
","0100586
","04
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","1
","1
","-
","5
","2
","64
","2
","2
","3
","2
","3
","9
","1
","2
","2
","3
","1
","2
","1
","3
","2
","2
","1
","2
","2
","2
","2
","2
","1
","1
","1
","2
","2
","0
","0
","0
","0
","1
","0
","0
","1
","0
","1
","0
","0
","0
","0
","2
","2
","1
","1
","1
","
","
","9
","9
","9
","
","
","9
","9
","9
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","4
","811
","U
","4
","00050
","1390
"
"0100586.096
","0100586.096.02
","0100586
","03
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","5
","2
","57
","2
","2
","1
","2
","3
","2
","1
","2
","2
","3
","2
","2
","2
","4
","2
","1
","1
","2
","1
","2
","2
","2
","1
","1
","2
","1
","2
","0
","0
","0
","0
","0
","0
","1
","1
","1
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","4
","4
","2
","1
","2
","3
","4
","2
","1
","2
","1
","0
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","1
","1
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","1
","1
","1
","0
","0
","1
","1
","1
","0
","0
","0
","0
","0
","2
","3244
","U
","4
","00050
","1390
"
"0100595.003
","0100595.003.01
","0100595
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","2
","1
","32
","1
","1
","1
","1
","1
","1
","1
","1
","2
","1
","1
","1
","1
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","1
","0
","1
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","2
","1
","1
","1
","2
","
","2
","2
","1
","
","
","2
","2
","1
","
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","1
","0
","0
","0
","0
","0
","0
","3
","1841
","U
","2
","00060
","1370
"
"0100595.034
","0100595.034.06
","0100595
","02
","06
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","1
","1
","-
","2
","2
","68
","1
","1
","3
","1
","3
","1
","1
","3
","3
","3
","1
","1
","1
","3
","2
","2
","2
","2
","2
","2
","2
","2
","3
","3
","3
","3
","2
","1
","0
","1
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","2
","2
","1
","1
","1
","
","
","1
","1
","9
","
","
","1
","1
","9
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","1
","0
","0
","4
","921
","U
","2
","00060
","1370
"
"0100595.063
","0100595.063.02
","0100595
","05
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","1
","-
","2
","2
","34
","2
","1
","3
","1
","3
","1
","1
","2
","2
","1
","1
","1
","1
","2
","1
","1
","2
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","0
","0
","1
","0
","0
","0
","1
","1
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","4
","4
","2
","2
","1
","4
","4
","2
","2
","2
","1
","1
","0
","1
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","1
","0
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","1
","1
","0
","0
","0
","4
","921
","U
","2
","00060
","1370
"
"0100595.089
","0100595.089.04
","0100595
","03
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","2
","2
","18
","1
","1
","3
","1
","3
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","0
","1
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","2
","2
","2
","2
","2
","
","2
","2
","2
","2
","
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","0
","0
","1
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","2
","2762
","U
","2
","00060
","1370
"
"0100595.110
","0100595.110.01
","0100595
","04
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","2
","1
","44
","2
","1
","1
","1
","3
","3
","3
","3
","3
","3
","1
","3
","3
","3
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","1
","1
","2
","0
","0
","1
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","3
","2
","3
","1
","1
","1
","3
","2
","1
","1
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","0
","0
","0
","1
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","0
","0
","4
","2762
","U
","2
","00060
","1370
"
"0100747.011
","0100747.011.02
","0100747
","04
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","4
","1
","35
","2
","2
","1
","2
","3
","2
","3
","2
","2
","1
","1
","2
","2
","4
","1
","1
","1
","1
","1
","1
","2
","2
","1
","2
","2
","2
","2
","1
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","2
","2
","1
","2
","9
","2
","2
","2
","2
","9
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","1
","1
","0
","1
","1
","0
","1
","0
","1
","1
","1
","1
","1
","0
","0
","0
","3
","1829
","U
","2
","00070
","1370
"
"0100747.033
","0100747.033.01
","0100747
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","1
","-
","4
","1
","55
","1
","2
","1
","1
","9
","1
","1
","1
","3
","1
","3
","3
","3
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","0
","0
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","0
","1
","1
","2
","1
","2
","1
","2
","
","1
","
","1
","2
","
","1
","
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","4
","1829
","U
","2
","00070
","1370
"
"0100747.057
","0100747.057.01
","0100747
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","4
","1
","47
","2
","1
","1
","2
","3
","3
","3
","3
","3
","3
","3
","3
","9
","4
","1
","2
","1
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","1
","0
","0
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","0
","2
","1
","1
","1
","2
","
","4
","9
","1
","
","
","4
","9
","1
","
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","3
","914
","U
","2
","00070
","1370
"
"0100747.080
","0100747.080.02
","0100747
","02
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","4
","2
","46
","1
","2
","1
","2
","3
","1
","1
","3
","2
","1
","3
","1
","1
","2
","1
","1
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","0
","0
","1
","0
","0
","0
","1
","0
","1
","0
","0
","0
","0
","0
","1
","1
","1
","1
","2
","3
","2
","1
","1
","
","2
","2
","2
","1
","
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","0
","1
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","0
","0
","0
","3
","2743
","U
","2
","00070
","1370
"
"0100747.102
","0100747.102.02
","0100747
","03
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0121
","01
","0
","0
","-
","4
","2
","25
","1
","1
","1
","1
","3
","1
","1
","1
","2
","2
","1
","2
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","0
","1
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","2
","1829
","U
","2
","00070
","1370
"
