"","ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","BP5_1","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"11","0100178.001","0100178.001.01","0100178","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",2,"1","86","1","1","1","1","3","3","3","3","3","1","3","3","3","4","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","9","","","","","2","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",1103,1103,"U","2","00004","0137"
"12","0100178.030","0100178.030.01","0100178","02","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",2,"1","70","2","1","3","1","3","1","1","2","2","1","1","2","3","4","1","1","2","2","9","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","2","1","1","","1","","2","2","","1","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",1103,1103,"U","2","00004","0137"
"13","0100178.067","0100178.067.02","0100178","03","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",2,"2","30","1","1","1","2","3","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","4","1","2","2","","2","2","1","2","2","2","2","2","2","1",1103,2206,"U","2","00004","0137"
"14","0100178.092","0100178.092.03","0100178","04","03","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",2,"2","19","2","1","1","2","3","2","1","2","2","2","1","2","2","3","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","1","1","2","2","3","3","2","","","4","4","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","3","2","","1","2","2","2","2","2","2","2","2","2","2","1",1103,3309,"U","2","00004","0137"
"15","0100359.004","0100359.004.01","0100359","02","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",3,"2","60","2","1","3","2","3","2","2","1","1","1","3","3","3","3","1","1","1","2","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","2","1","1","1","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",896,1791,"U","3","00005","0138"
"16","0100359.022","0100359.022.01","0100359","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",3,"1","37","1","1","1","1","3","2","2","2","2","3","2","2","2","4","1","1","2","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","3","3","1","1","1","3","3","1","1","1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",896,2687,"U","3","00005","0138"
"17","0100359.039","0100359.039.01","0100359","04","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",3,"1","54","2","2","2","2","3","2","2","3","9","2","3","3","3","4","1","1","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","9","4","","3","","","4","","3","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1",896,2687,"U","3","00005","0138"
"18","0100359.072","0100359.072.01","0100359","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",3,"1","43","2","2","2","2","3","2","2","2","2","3","2","2","2","3","1","1","1","1","1","2","2","2","1","1","2","2","2","2","1","2","2","2","1","1","1","1","1","2","2","2","2","2","","2","2","2","2","","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",896,4478,"U","3","00005","0138"
"19","0100368.018","0100368.018.04","0100368","04","04","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","30","2","1","1","2","3","2","1","2","2","2","1","2","2","3","2","1","2","1","1","2","2","2","1","2","2","3","2","2","2","2","2","2","2","1","1","1","1","1","3","2","2","1","1","3","2","2","2","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","3","1","2","2","","2","2","2","2","2","2","2","2","2","1",922,4610,"U","2","00006","0137"
"20","0100368.036","0100368.036.01","0100368","05","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","49","1","1","1","2","3","1","1","1","2","1","1","2","2","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","1","2","2","2","3","1","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","1","2","2","","2","2","2","2","2","2","2","2","2","1",922,1844,"U","2","00006","0137"
"21","0100368.050","0100368.050.03","0100368","01","03","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","38","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","1","1","1","1","3","2","2","1","1","2","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","3",922,3688,"U","2","00006","0137"
"22","0100368.075","0100368.075.04","0100368","02","04","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"2","19","2","1","3","1","1","2","2","2","2","2","1","2","2","3","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","2","2","2","2","2","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","3","2","","2","","1","2","2","2","2","2","2","2","2","1",922,3688,"U","2","00006","0137"
"23","0100368.095","0100368.095.01","0100368","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"2","73","2","2","3","3","3","2","2","1","2","1","1","2","2","1","2","1","1","1","1","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","9","9","9","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","4",922,4610,"U","2","00006","0137"
"24","0100391.028","0100391.028.04","0100391","03","04","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",1,"2","20","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","2","2","2","1","3","","","","2","3","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","0","3","2","","2","","1","2","2","2","2","2","2","2","2","1",857,3428,"U","3","00007","0138"
"25","0100391.041","0100391.041.01","0100391","02","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",1,"1","42","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","2","2","1","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","1","1","1","","","1","1","1","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","1","0","1","1","0","1","1","0","0","0","3","1","2","1","2","2","2","2","2","2","2","2","2","2","1",857,857,"U","3","00007","0138"
"26","0100391.116","0100391.116.01","0100391","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",1,"1","26","1","1","1","1","3","1","1","2","2","2","1","2","1","4","1","1","1","2","1","2","2","1","1","2","2","1","2","2","2","2","2","2","2","1","1","1","1","2","3","3","2","1","","4","4","1","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1",857,2571,"U","3","00007","0138"
"27","0100391.215","0100391.215.01","0100391","04","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",1,"1","52","1","1","1","1","3","1","1","1","1","3","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","1","1","2","1","2","2","1","","3","","1","1","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","1","1","1","0","0","0","1","0","0","1","0","0","0","0","3","1","2","1","2","2","2","2","2","2","2","2","2","2","2",857,1714,"U","3","00007","0138"
"28","0100460.020","0100460.020.03","0100460","01","03","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"2","36","2","2","2","2","3","2","1","2","2","3","2","2","1","1","1","1","1","1","1","2","1","2","2","2","1","2","2","1","1","1","2","2","2","1","1","1","1","2","4","3","2","2","","3","2","3","1","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","0","1","1","0","1","1","1","1","1","0","0","0","2","2","","2","","1","2","2","2","2","1","2","2","2","1",1181,4724,"U","2","00008","0137"
"29","0100460.038","0100460.038.01","0100460","02","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","50","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","4","1","4","3","1","2","1","4","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","3","1","2","2","","2","2","2","2","2","2","2","2","2","1",1181,3543,"U","2","00008","0137"
"30","0100460.058","0100460.058.01","0100460","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"2","62","1","1","1","1","3","1","1","1","1","1","1","2","1","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","2",1181,7086,"U","2","00008","0137"
"31","0100460.078","0100460.078.04","0100460","04","04","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","21","1","1","2","1","3","3","1","2","2","1","1","2","1","2","2","1","2","1","1","2","2","1","2","2","2","2","2","2","1","2","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",1181,5905,"U","2","00008","0137"
"32","0100460.096","0100460.096.01","0100460","05","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","28","1","1","1","2","1","1","1","2","2","3","1","3","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","4","4","9","9","9","4","4","3","9","9","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","1","0","1","1","1","1","1","0","0","0","3","2","","1","2","2","2","2","2","1","2","2","1","2","1",1181,2362,"U","2","00008","0137"
"33","0100509.012","0100509.012.02","0100509","03","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"2","40","1","1","3","1","3","1","1","2","2","3","1","1","2","4","2","2","2","2","2","2","2","9","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","1","1","3","3","2","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","2","","2","","1","2","2","2","2","2","2","2","2","1",1093,2187,"U","3","00009","0138"
"34","0100509.062","0100509.062.01","0100509","05","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","43","2","1","1","1","3","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","3","1","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",1093,3280,"U","3","00009","0138"
"35","0100509.089","0100509.089.04","0100509","01","04","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,1,"-",4,"2","21","1","1","1","1","3","1","1","1","2","1","1","3","1","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","1","1","2","1","2","3","1","","2","2","3","2","","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","4","2","","1","2","2","2","2","2","2","1","2","2","2","2",1093,3280,"U","3","00009","0138"
"36","0100509.112","0100509.112.02","0100509","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","34","1","1","1","2","3","2","1","1","2","2","1","3","3","2","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",1093,3280,"U","3","00009","0138"
"37","0100539.015","0100539.015.01","0100539","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","56","2","1","1","1","3","1","1","1","2","3","1","2","2","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1",1147,3440,"U","3","00010","0138"
"38","0100539.037","0100539.037.03","0100539","02","03","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"2","28","2","1","2","2","3","2","2","2","2","2","1","2","2","1","2","1","2","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","1","2","1","2","","3","","2","","","3","","2","","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","4","2","","2","","1","2","2","2","2","2","2","2","2","2",1147,5734,"U","3","00010","0138"
"39","0100539.063","0100539.063.03","0100539","05","03","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",4,"1","33","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",1147,3440,"U","3","00010","0138"
